COUNTRY,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan,219,291,170,169,164,191,31,93
Albania,183,349,384,562,628,776,202,"1,017"
Algeria,240,356,374,278,326,420,16,227
Andorra,3,9,5,3,10,5,-,8
Angola,268,286,684,963,863,625,34,638
Antigua and Barbuda,204,205,205,202,211,227,57,196
Argentina,"7,498","6,752","6,574","7,909","6,189","5,502","1,739","4,560"
Armenia,195,282,503,482,638,965,233,"1,734"
Australia,"3,964","6,583","4,581","3,155","4,240","3,797",285,"1,536"
Austria,"2,694","2,784",820,647,733,915,78,418
Azerbaijan,72,198,430,486,283,256,24,282
"Bahamas, The","1,510","3,876","3,320","1,292","2,292","6,678","1,187","7,256"
Bahrain,68,101,58,43,50,52,13,44
Bangladesh,"1,147","1,009",759,565,989,817,87,"1,838"
Barbados,310,"1,621","2,621",718,"1,466","1,787",52,211
Belarus,229,544,734,673,599,475,54,790
Belgium,"1,477","1,369","1,434",785,970,926,94,647
Belize,531,576,595,554,516,877,215,851
Benin,129,104,104,97,112,132,31,110
Bhutan,106,99,51,46,71,32,3,66
Bolivia,"1,118","1,129","1,250","1,108","1,172","1,530",523,"1,799"
Bosnia and Herzegovina,146,157,86,109,80,66,14,68
Botswana,16,24,26,26,18,37,3,29
Brazil,"35,707","36,929","31,912","34,569","41,487","46,711","2,069","15,246"
Brunei,10,10,12,9,9,15,-,3
Bulgaria,389,401,302,235,226,219,42,187
Burkina Faso,654,"1,146",669,308,407,335,61,759
Burma,114,232,304,419,884,"1,121",24,537
Burundi,81,146,171,249,312,175,3,85
Cabo Verde,276,719,661,553,520,516,24,339
Cambodia,46,50,144,110,87,69,11,173
Cameroon,607,832,923,826,610,411,42,501
Canada,"93,035","117,267","90,707","83,056","73,584","50,546","3,149","13,830"
Central African Republic,11,23,16,14,11,15,2,9
Chad,104,106,140,162,297,144,3,118
Chile,"6,553","5,416","4,494","5,364","5,078","4,878","3,583","10,309"
China,"15,692","17,108","16,225","15,739","16,355","17,257","1,315","19,966"
